dcontributor,dsubjecs,dtitle,Year
刘集勋,抵押;盛宣怀;轮船招商局,盛宣怀致刘集勋函,1870-1874
王庭桢,亏损;典当;大有恒庄;济通典;财务;钱庄,盛宣怀致王庭桢函,1870-1874
盛康,养生;刘翊宸;家族事务;常州府;湖北;粮食;胡寿昌;行程;采办,盛宣怀致盛康函,1870-1874
盛康,九江府;养生;朱其昂;湖北;漕粮;粮食;股票;轮船招商局;采办;镇江府,盛宣怀致盛康函,1870-1874
盛康,上海;九江府;刘坤一;家族事务;朱其昂;江西;漕务;胡寿昌;轮船,盛宣怀致盛康函,1870-1874
盛康,典当;家族事务;常州府;张镜濂;徐相臣;捐款;财务,盛宣怀致盛康函,1870-1874
盛康,养生;家族事务;秣陵;行程;轮船招商局;黄铸,盛宣怀致盛康函,1870-1874
刘景芬等;孔宪溥;韩玉堂,仓储;天津府;河间府;粮食;赈济;运输;采办,盛宣怀致韩玉堂、孔宪溥、刘景芬等函,1875-1879
计琳,东光县;仓储;天津府;张麐;换币;河间府;粮食;财务;赈济;运输;连镇;采办,盛宣怀复计琳函,1875-1879
韩玉堂,仓储;刘各庄;刘海岩;大城县;天津府;河间府;粮食;赈济;运输;采办,盛宣怀复韩玉堂函,1875-1879
计琳,东光县;仓储;天津府;河间府;粮食;赈济;运输;连镇;采办,盛宣怀复计琳函,1875-1879
程植,仓储;刘海岩;天津府;河间府;留各庄桥;粮食;赈济;运输;采办,盛宣怀复程植函,1875-1879
,汇兑;盛宣怀,盛宣怀收条,1875-1879
丁寿昌,吴大澂;天津府;布;李鸿章;水井;河间府;献县;粮食;纺织;赈济;采办;销售,盛宣怀复丁寿昌函,1875-1879
刘秉璋,临江府;樟树镇;盛富怀;荐举;通判,盛富怀代拟盛宣怀致刘秉璋函,1875-1879
庭桢,典当;同仁栈;湖北;益大典;礼仪;选官,盛宣怀复？庭桢函,1875-1879
李文敏,刘秉璋;李鸿章;江苏;浙江;漕务;财务;轮船招商局,盛宣怀复李文敏函,1875-1879
陈福勲,唐廷枢;天津;昌盛隆号;李鸿章;泰昌永钱庄;纠纷;财务;赈济,盛宣怀致陈福勲函,1875-1879
陈福勲,上海;债务;天津;广肇公所;泰昌永钱庄;盛康;罗云逵;长兴泰栈,盛宣怀致陈福勲函,1875-1879
郑官应,合同;煤;船只;萍乡煤矿,盛宣怀致郑官应函,1875-1879
郑官应,官商合办;德培;汉阳铁厂;耶松船厂;西门子公司;钢;钢轨;铁,盛宣怀致郑官应函,1875-1879
李明墀,李瀚章;武穴;湖北煤铁总局;煤;矿务,盛宣怀复李明墀函,1875-1879
金国琛,典当;房屋;本金;清查;生息银两;行程,盛宣怀致金国琛函,1875-1879
盛康,礼仪;社交;谋职,盛宣怀致盛康函,1875-1879
盛康,家族事务;疾病;章程;练饷;行程,盛宣怀致盛康函,1875-1879
李鸿章,煤矿;矿务,盛宣怀致李鸿章函,1875-1879
李瀚章;潘霨,周锐;盛宇怀;请假,盛宣怀致李瀚章、潘霨函,1875-1879
[江履璜];王永坊,丰泰栈;煤;矿务;管理;苏州府;货栈;运输;销售,盛宣怀致王永坊、[江履璜]函稿,1875-1879
[江履璜];王永坊,丁元兴;上海;戴光梁;煤;物价;盛康;船只;苏州府;运输;销售,盛宣怀致王永坊、[江履璜]函稿,1875-1879
戴光梁;江履熿;王永坊,上海;厘金;煤;经费;船只;运输;销售,盛宣怀致王永坊、戴光梁、江履熿函稿,1875-1879
戴光梁;王永坊,丁元兴;厘金;煤;物价;盛康;管理;船只;苏州府;运输,盛宣怀致王永坊、戴光梁函稿,1875-1879
王永坊等,江津县;煤;船只;行程;运输,盛宣怀致王永坊等函稿,1875-1879
戴光梁;王永坊,煤;管理;船只;运输,盛宣怀致王永坊、戴光梁函稿,1875-1879
戴光梁;王永坊,丁元兴;丰泰栈;煤;船只;苏州府;货栈;运输;销售,盛宣怀致王永坊、戴光梁函稿,1875-1879
戴光梁;王永坊,煤;物价;租借;管理;苏州府;货栈;运输;销售,盛宣怀致王永坊、戴光梁函稿,1875-1879
,吕在位;吴健;张茂;案件;王有仁;翟家畈,盛宣怀复广济县函,1875-1879
王方田,吴健;案件;王有仁;翟家畈;郭在歧,盛宣怀致王方田函,1875-1879
驻英税务司金？,勘探;外籍工师;工厂;机器;湖北;煤;英国;财务;郭师敦;铁,盛宣怀致驻英税务司金？函,1875-1879
郭师敦,大冶铁矿;天津府;李鸿章;湖北;煤;矿务;荆州府;赈济;轮船;运输;铁,盛宣怀复郭师敦函,1875-1879
郭师敦,上海;利息;工程;工费;机器;煤;矿务;谭克;轮船,盛宣怀复郭师敦函,1875-1879
郭师敦,上海;勘探;煤;谭克;轮船,盛宣怀拟复郭师敦函,1875-1879
[沈葆桢],湖北开采煤铁总局;煤;矿务;运输,盛宣怀再致[沈葆桢]函,1875-1879
马立师,人事;外籍工师;马立师,盛宣怀致马立师函,1880-1884
盛康,天津府;太原府;法国;电报局;苏州府;行程;赈济;轮船,盛宣怀致盛康函,1880-1884
方佑民,刘稼民;勘察;杜大林;栖霞县;矿务,盛宣怀致方佑民函,1880-1884
刘稼民,山东;方佑民;杜大林;棲霞县;矿务,盛宣怀致刘稼民函,1880-1884
方佑民,冯庆镛;土地;山东;棲霞县;矿务;轮船招商局;金州矿务局;铅矿;陈敬亭,盛宣怀致方佑民函,1880-1884
吴湘畹,天津县;薪俸,盛宣怀致吴湘畹函,1880-1884
温宗彦,南洋;奖赏;捐赈;新加坡;汇兑;直隶筹赈局;轮船招商局,盛宣怀复温宗彦函,1880-1884
盛康,盐;盐税;采办,[盛宣怀]致盛康函,1880-1884
龚彝图,上海;上海织布局;唐廷枢;天津;彭汝琮;李鸿章;股票;龚寿图,盛宣怀致龚彝图函,1880-1884
？,典当;军饷经费;利息;江苏;练军;银价,盛宣怀致？函,1880-1884
？,典当;军饷经费;利息;江苏;练军;银价,盛宣怀致？函,1880-1884
经元善,公司;天津府;轮船招商局,盛宣怀致经元善函,1880-1884
？,伦敦;法国;章程;越南,盛宣怀致？函,1880-1884
张之洞,东京;中法战争;外邦关系;文汇报;考勃得;越南,盛宣怀致张之洞函,1880-1884
谢家福,太古洋行;开封;怡和洋行;捐赈;水灾;河南;赈济;轮船招商局;马建忠,盛宣怀致谢家福函,1880-1884
吴永,矿务;金州,盛宣怀致吴永函,1880-1884
龚照瑗,上海;泰来亨;王辉远;矿务;经元善;股票;钱庄;马建忠,盛宣怀致龚照瑗函,1880-1884
龚照瑗,上海;布包;李鸿章;泰来亨;王辉远;申报;经元善;股票;铭军;马建忠,盛宣怀致龚照瑗函,1880-1884
经元善,泰来亨;王辉远;股票;荆门;龚照瑗,盛宣怀致经元善函,1880-1884
李鸿章,中法战争;广东;电线;越南,[盛宣怀]禀李鸿章函,1880-1884
[方]仁坚;杨廷杲,博怡生;大北公司;新疆;机器;电报局;采办,盛宣怀致杨廷杲、[方]仁坚函,1880-1884
谢家福,工程;广东;电报局;福建;麦拉,盛宣怀致谢家福函,1880-1884
[左宗棠];李鸿章,上海;大东公司;滕恩;电报局;电线;租界,盛宣怀禀李鸿章、[左宗棠]文,1880-1884
李鸿章,大东公司;电报局;电线;英国;通商口岸;领事,盛宣怀禀李鸿章文,1880-1884
黄中慧,公务;勘察;技师;电报;矿务,盛宣怀致黄中慧函,1880-1884
李仲仙,电报局;股票,盛宣怀致李仲仙函,1880-1884
盛世丰,上海;佘昌宇;宁德;电报局;福宁府,盛宣怀致盛世丰函,1880-1884
大北公司,公司;大北公司;天津;电报局,盛宣怀致大北公司函,1880-1884
萧镇坤,电报;轮船,盛宣怀复萧镇坤函,1880-1884
？子实,公务;公用事业;电报,盛宣怀致？子实函,1880-1884
李鸿章,制造;成本;矿务;码头;管理;股票;财务;轮船招商局,盛宣怀、郑官应致李鸿章文,1880-1884
李鸿章,借贷;开平煤矿;管理;股票;轮船招商局,盛宣怀、郑官应等致李鸿章函,1880-1884
龎际雲,人事;礼仪,盛宣怀致龎际雲函,1880-1884
马松圃,人事;曹顺;荐举,盛宣怀致马松圃函,1880-1884
赵吉,财务,盛宣怀致赵吉函,1880-1884
？宝渠,泰昌永钱庄;王遐龄;蒋钜堂;钱庄,盛宣怀致？宝渠函,1880-1884
